incident nummer,Beschrijving incident,hoofd afdelingen
1220869,WS Connect: Vraagje over verhuising van Hgl naar Amsterdam,Facility management
1224967,WS Connect: Vraagje over tarief van buitenaf naar 088 nr,Onbekend
1208337,WS Connect: Vraagje over het pakket,Facility management
1205531,WS Connect: Vraagje over de rekening,Commercial department
1238365,WS Connect: Vraagje over afmelden. Mevr. Kiork,Commercial department
1220872,WS Connect: vraagje over afmelden,Production QA
1227954,WS Connect: vraag over de naam in het systeem,Commercial department
1200536,WS Connect: Vraag of hij zich af moet melden.,Facility management
1201809,WS Connect: Vraag of hij zich af moet melden.,Production QA
1200853,WS Connect: Vraag hoe naar buiten te bellen,HR advies
1204566,WS Connect: Verweij A0 km4 b1,Production QA
1221358,WS Connect: van Eeuwijk 26-11-1924. Scherm werkt niet goed,Commercial department
1211711,"WS Connect: van Dam, Kan zich niet aanmelden",Commercial department
1190578,WS Connect: Valt steeds uit. Vorige week ook nieuwe firmware.,Commercial department
1205788,WS Connect: TV doet het niet.,Commercial department
1200722,WS Connect: TV deed het niet. Ligt nu geen klant.,Production QA
1220865,WS Connect: Tukker. Vragen de status vd terugbetaling,Facility management
1218536,WS Connect: Tukker 1-7-1966,Facility management
1248546,WS Connect: Toetsenbord werkt niet op USB,Production QA
1191231,WS Connect: Toetsenbord doet het niet.,Production QA
1238834,"WS Connect: Toetsenbord doet het niet goed. de P,B,N,S doen het niet meer.",Production QA
1211674,WS Connect: Ter Stal. km 11 bd 1. Scherm helemaal uitgevallen FA WINKELS,Production QA
1239752,WS Connect: televisie (arm) steun van een patiëntenbed defect,Commercial department
1224797,WS Connect: telefonische test door Nick,Facility management
1239936,WS Connect: Tanke km 2 b1. Aanmelding lukt niet.,Commercial department
1245128,WS Connect: Stokreef. Scherm werkt niet goed.,Production QA
1194689,WS Connect: Schutten km17 bd2 geb. datum 13-4-1938,Production QA
1227396,WS Connect: schermen op de kraamafdeling 130 t/m 133 doen het nog niet.,Commercial department
1238998,WS Connect: Scherm vervangen.,Overig
1226649,WS connect: Scherm start niet op,Commercial department
1243863,WS Connect: Scherm donker,Commercial department
1228051,WS Connect: Scherm doet het niet.,Production QA
1251423,WS Connect: scherm 33307 vervangen met 33030,Marketing
1189800,WS Connect: Sanchez,Overig
1202093,WS Connect: Ricardo ten Voorde C0 km1 bd1,Production QA
1217759,WS Connect: Radio geen geluid. Mevr Dogge km53 b1,Commercial department
1241816,WS Connect: Radio doet het niet meer.,Commercial department
1199174,WS Connect: Pulle km5 bd1,Production QA
1222485,WS Connect: op de nieuwbouw (4 kamers) doen de WS connect schermen het niet.,Commercial department
1205537,WS Connect: Oldenhof 27-12-1936,HR advies
1216160,WS Connect: Noordman 5Noord k516 b1. Systeem reboot na berichtje op Facebook zetten,Commercial department
1248481,WS Connect: Niets te horen,Commercial department
1235154,WS Connect: Nierdialise km2 bd 6,Commercial department
1240472,WS Connect: Naar buiten bellen vraag,Commercial department
1214921,WS Connect: Naar buiten bellen lukt niet.,Facility management
1246922,WS Connect: Naar buiten bellen lukt niet.,Production QA
1235604,WS Connect: Muis vh toetsenbord doet het niet.,Commercial department
1221382,"WS Connect: Mist nog € 10,- dat teruggestort dient te worden.",Onbekend
1223303,WS Connect: Mevr. Symonowicz,Onbekend
1234475,WS Connect: Mevr. Slag. Geen locatie,Commercial department
1210740,WS Connect: Mevr. Pol 63 b2. Geen beeld,Commercial department
1217252,WS Connect: Mevr. padstra km 75 b1. Geen geluid,Commercial department
1226905,WS Connect: Mevr. Miedema km 51 b1. Internet valt elke keer weg.,Commercial department
1238652,WS Connect: Mevr. Lettink- Pakhuis. km 309,Commercial department
1210822,WS Connect: Mevr. Hannink,Commercial department
1236563,WS Connect: Mevr. Geitman 5 zuid km 58 b4. Scherm op zwart.,Commercial department
1218520,WS Connect: Mevr. Extercatte km 27 b4. Min 3 dagen geen tv gehad. Geeft laden op het scherm aan.,Production QA
1189168,WS Connect: Mevr. Ensink Haar man 05-11-34 B.B. Ensink,Facility management
1238978,WS Connect: Mevr. Denekamp. A1 km8 bd2. Vraagt status.,Production QA
1205499,WS Connect: Mevr. Bor. Heeft nu maar 2 zenders,Production QA
1205498,WS Connect: Mevr. Boon km9 b1. Pakket weer weg. Had pakket 2,Production QA
1252589,WS Connect: mevr Steen km37 bd1 Kan niets invoeren.,Commercial department
1194494,WS Connect: mevr Hamer-Bosch. Scherm doet het niet meer,Overig
1205487,WS Connect: Mevr Ekstercatte km5 b1,Overig
1207026,WS Connect: men. Schuiling 1127 b2,Commercial department
1212186,WS Connect: Men. FB Zeeman. Toetsenbord werkt niet.,HR advies
1238596,WS Connect: Men probeert naar buiten te bellen,Commercial department
1221880,WS Connect: Men de Bruijn km58 b1. Opgenomen zonder locatie,Commercial department
1221310,WS Connect: Martijnink km59 b2,Commercial department
1190848,WS Connect: Konijnebelt. Kan geen rek. nr ingeven.,Commercial department
1220255,WS connect: km8 b1 mevr. Smit. Telefoon doet het niet,Production QA
1245776,WS Connect: km3 bd2 dhr. Ruepert. Touch screen reageert,Overig
1201923,WS Connect: km3 b1. Disk boot failure. Insert system disk and press enter,Commercial department
1207094,WS Connect: km1  bd1 Evertse scherm doet het niet.,Production QA
1204180,WS Connect: km 83 bd4. Schonewille,Commercial department
1249081,WS Connect: km 80 bd1 Braakhuis. Geen locatie,Commercial department
1205640,WS Connect: km 583 b2 Wil graag afmelden,Commercial department
1217954,WS Connect: km 56 b3 Slaghuis. Problemen met tv,Commercial department
1224859,WS Connect: km 475 bd 1. Telefoon werkt niet goed.,Commercial department
1224800,WS Connect: km 337 Gisteren scherm vervangen. Maar doet het nog niet,Commercial department
1201166,WS Connect: km 307 b4 Stokvis,Commercial department
1221406,WS Connect: km 28 bd1,Commercial department
1197196,WS Connect: km 157 bd2 Ongeldig bankrek nr. bij invoeren,Commercial department
1239106,WS Connect: km 13. Gebeurd niets als zij naar Mijn instellingen gaat.,Production A
1236183,WS Connect: klanten verhuisd in CS. Krijgen nog niet hun naam op het scherm te zien.,Overig
1226652,WS Connect: Kan niet op internet. km 59 bd 4,Commercial department
1217820,WS Connect: Kan niet naar buiten bellen,Commercial department
1243758,WS Connect: k305 b1  Internet Facebook werkt niet goed.,Commercial department
1194669,WS Connect: Internet valt weg. eijssink,Commercial department
1204114,WS Connect: Informatie over afmelden gevraagd.,Facility management
1237801,WS Connect: Iemand die naar buiten wil bellen,Commercial department
1238550,WS Connect: Iemand die naar buiten wil bellen,Commercial department
1244168,WS Connect: HJ Wielens. A1 km13 bd2 Toetsensbord werkt niet.,Production QA
1241678,WS Connect: Heeft haar pakket gewijzigd naar pakket 1 (radio) en nu heeft zij gelijk geen tv meer.,Production QA
1207096,WS Connect: HC1 km32 bd2 Munsterhuis,Production QA
1236977,WS Connect: H. Prijs geb. datum: 31-8-1954 Vraag over factuur. Volgens haar te hoog.,Commercial department
1205491,WS Connect: Gisteren wel TV en nu alleen de 2 basis zenders,Production QA
1202112,WS Connect: G2 km10 b2 Sebastiaan van Daal. Telefoon doet het niet.,HR advies
1221036,WS Connect: Fikkert A1 km8 b2,Production QA
1239076,WS Connect: Eurosport mist.,Commercial department
1189343,WS Connect: doorgegeven dat Mevr Kattenpoel Oude Heerink-Gilber haar telefoon weer goed doet,Production QA
1237260,WS Connect: Dinant Oudenampsen km357 b4. TV beeld blijft staan.,Commercial department
1213672,WS Connect: Dhr. Scheppink km89 b1. Telefoon werkt niet,Commercial department
1223598,WS Connect: Dhr. Moes 10-8-1953 klant 23413816. Wordt maandelijks een bedrag van hun rekening afgehaald.,Commercial department
1217724,WS Connect: Dhr. Goede km 53 b1 storing met radio,Commercial department
1207101,WS Connect: Dhr Naber. km 488 bd2 Doet helemaal niets,Commercial department
1189105,WS Connect: D1 km7 b2 : Telefoon blijft niet in beeld staan als zij probeert te bellen.,Production QA
1190195,WS Connect: Carper 29-07-25,Production QA
1190527,WS Connect: C1 km32 b2 Kattenpoel. Scherm doet het niet. Is al vervangen.,Production QA
1205517,WS Connect: Booiman TV,Commercial department
1190039,WS Connect: Bolmert wil graag naar buiten bellen,Facility management
1207309,WS Connect: Bij uitzending gemist wordt het systeem geherstart.,Production QA
1246951,WS Connect: Berends 13-10-1939,Commercial department
1222654,WS Connect: belde hierover.,Onbekend
1225399,WS Connect: Beeldscherm zit vast. Dhr. Middag,Overig
1224929,WS Connect: Beelden door elkaar.,Facility management
1220944,WS Connect: Beeld niet is erg.,Commercial department
1241858,WS connect: beeld blijft op Philips staan,Commercial department
1205850,WS Connect: B0 km2 b2 Kan rek nr. niet invoeren,Production QA
1223591,WS Connect: Algemene nr van WS,Onbekend
1215104,WS Connect: Aanpassen abonnement,Production QA
1252610,WS Connect: A0-CCU k1 b4 Dhr. Herr Slecht beeld (TV Oost),Production QA
1245619,WS Connect: A0 km 13 b1. Nieuwe scherm.,Production QA
1225946,WS Connect: 5992. Mevr. Kottier. km 75 b1. Scherm doet het niet meer.,Commercial department
1245552,WS Connect: 5 noord km 10 bd 3. Touchscreen doet het niet.,Commercial department
1199405,WS Connect: 4 west k476 b2. Scherm reset zich af en toe,Commercial department
1201861,WS Connect: 3EA 38 b3 Veel gekraak bij het telefoneren.,Overig
1241774,WS Connect: 33271 Mevr. Verhoog. b4 33335 Mevr. Veldhuis bd2 Beide tv's doen het niet.,Production QA
1247279,WS Connect: 3 zuid km 56 b1 Heij. Telefoon werkt niet en geen radio,Commercial department
1207687,WS Connect: 3 zuid km 56 b1,Commercial department
1233573,WS Connect: 3 zuid km 351 b2. Geen beeld.,Commercial department
1205825,WS Connect: 3 noord km3 bd1. Stond een andere naam in 1 keer.,Commercial department
1219784,WS Connect: 29-8-45. wil graag restitutie voor 21-2.,Facility management
1205392,WS Connect: 29-08-1944 Verweij. Gisteren werkt haar scherm niet meer en heeft zich opnieuw aangemeld.,Production QA
1250730,WS Connect: ??,Commercial department
1215259,WS Connect:  Scherm vervangen km 559 bd 2  ruimte 5E19.1,Commercial department
1243871,WS Connect:  M Slot km 1.55 bd2,Commercial department
1250657,WS Connect:  km9 bd 1 Zwart scherm sinds gisteravond.,Production QA
1205438,WS Connect:  km8 b3 01-07-26 men. Bruins. Geen beeld,Production QA
1208286,WS Connect:  km51 bd2 Men. Nienhuis: Scherm doet het niet. Gaat ook niet aan.,Commercial department
1237290,WS Connect:  km 553. Was pakket 3 nu pakket 2,Commercial department
1203685,WS Connect. Vraagje over naar buiten bellen,Facility management
1241697,WS Connect. Telefoon bezettoon en oproeptoon hoort hij door elkaar.,Commercial department
1243854,WS Connect. Op internet een aflevering kijken. na 5 min springt hij weer terug naar hoofdmenu. A1 km17 b1,Production QA
1246813,WS Connect. Mevr. wil zich afmelden,Commercial department
1252593,WS Connect. mevr. Unval-Yildirim D1 km8 bd 3 Toetsenbord reageert niet.,Production QA
1234513,WS Connect. Mevr. Makel. km 581 b4. Bellen gaat niet goed met nummers kiezen op scherm.,Commercial department
1213627,WS Connect. Men. HietBeek. Belgische zenders missen.,Production QA
1237542,WS Connect. km10 b2,Commercial department
1245361,WS Connect. km 13 mevr. Huismann Kollen. Telefoon werkt niet.,Production QA
1255041,WS Connect. Kan niet het rek. nr. goed invullen.,HR advies
1224750,WS Connect. Internet doet het niet. Tv valt helemaal weg. Kottier 14-3-83,Commercial department
1256055,WS Connect. Heeft de verkeerde naam in het scherm staan.,Overig
1203474,WS Connect. Bonnr 01201884 moet actie ondernomen worden. Gestest worden.,HR advies
1224789,WS Connect. Bellen naar 06 nr gaat niet goed.,Facility management
1244170,WS Connect. 3 noord km 9 bd 4 Woeltjes,Commercial department
1228221,WS Connect. 3 dagen ellende gehad met telefoon. Heeft er niets mee kunnen doen. Deen 10-09-1971 G1 km8,Overig
1218497,WS Connect.  Mevr. Immink km 5 b1 23-12-41  in CareServant niet op lControlekameratie.,Production QA
1255406,WS Connect.,Commercial department
1189547,WS Connect zaal 2 bed 1. Geen beeld,Commercial department
1191864,WS connect werkte niet,Facility management
1189719,WS connect werkt niet goed,Facility management
1190240,WS connect werkt niet goed,Facility management
1254729,WS Connect Vraagt info over pakket keuze.,Production QA
1192459,WS Connect telefoon is erg slecht (Hoorn?),Production QA
1198739,WS Connect schermen nodig in Amsterdam,Facility management
1189294,WS connect scherm vervangen,Facility management
1198823,WS Connect scherm is vervangen.,Facility management
1247766,WS Connect scherm doet het niet goed.,Production QA
1223172,WS CONNECT Scherm blijft hangen,Commercial department
1203738,WS CONNECT rekening geblControlekamerkeerd,Facility management
1189237,WS Connect Oude Nijewemer. TV beeld valt weg,Commercial department
1242340,"WS connect op kamer 132.1  heeft storingen,",Commercial department
1198125,WS Connect met defecte verbinding,Commercial department
1198351,WS Connect met defect toetsenbord,Production QA
1194687,WS Connect meneer Kemp Touch Screen reageert niet,Commercial department
